Feature,Importance
dti_ratio,0.292434166422122
loan_int_rate,0.20878008223104172
person_income,0.1968974874054938
loan_amnt,0.0996887544541946
person_age,0.08141812582866882
emp_length_category,0.04674775607320811
interest_rate_category,0.02698809766014485
income_group,0.017955102105708515
age_group,0.01767908368391723
loan_amount_category,0.011411344135500313
